Front,Back
"Why KNN specifically?","Three reasons: (1) it has exactly one hyperparameter, making model selection clean; (2) its per-sample-similarity decision rule makes it the model most exposed to lag-1 autocorrelation leakage; (3) it's in the COGS 109 palette."
"Why is KNN uniquely vulnerable to lag-1 leakage?","KNN at k=1 predicts by copying the label of the single nearest training sample. Under shuffled CV the temporal neighbour of every test sample is in the training fold with ~80% probability, and shares the same label with ~99.7% probability. So the model is being asked a question it can almost always answer by lookup."
"Why are the leakage gaps smaller for LDA / PCA→LDA / PCR?","Because they all average over many samples before classifying — they smear out the per-sample similarity that drives the leakage. KNN at k=1 is the only model whose prediction depends on the identity of a single training sample."
"Why does shuffled CV inflate accuracy on this dataset?","Because adjacent EEG samples are nearly identical (lag-1 r=0.997). Under shuffled CV, the temporal neighbour of each test sample lands in the training fold, so the classifier can effectively look up the label rather than generalising."
"Why does naive blocked CV fail (≈50% accuracy)?","Not a model failure — a fold-construction failure. The label runs are unevenly distributed across the recording, so individual contiguous folds end up class-imbalanced (one fold at ~20% class-0 vs global ~54%). Per-fold accuracy collapses near the majority-class baseline."
"How does stratified blocked CV work?","Cut the training partition into 100 short contiguous segments (~120 samples each). Assign segments to 5 folds in a class-stratified round-robin so each fold has roughly the same class balance as the whole training set."
"Why 5-fold CV (not 10 or 3)?","Standard bias-variance tradeoff. With ~12,000 training samples, each fold has ~2,400 samples — plenty for a stable per-fold estimate. 10-fold doubles compute without changing conclusions; 3-fold gives noisier per-fold estimates."
"Why a log-spaced k grid?","The interesting region for KNN is small k. Log-spacing doubles the resolution at small k without wasting evaluations at large k."
"Why odd-only k values?","With a binary label and even k you can have a 1-1 tie among neighbours. Odd k guarantees a clean majority."
"Why a 64-sample seam gap between train and test?","To prevent boundary contamination. At 128 Hz, 64 samples ≈ 0.5 s — long enough for the lag-1 autocorrelation window to fully decay before the test partition starts."
"Why z-score using training statistics only?","Z-scoring with test statistics leaks information from test into preprocessing. Using only training-partition mean/std for the transform is the standard fix."
"Why specifically 100 segments in stratified blocked CV?","100 was a clean compromise: segments are short enough (~0.9 s) that most don't straddle label transitions, but long enough that 5-fold class-stratified assignment is meaningful. With <20 segments you'd be near naive blocked CV; with >500 segments you'd lose temporal locality."
"What is 'honest' CV in our context?","Specifically stratified blocked CV — temporal autocorrelation is respected and fold class balance is preserved."
"What is 'leaky' CV in our context?","Shuffled CV on autocorrelated time series. Adjacent samples land in different folds, leaking the lag-1 signal across the train/test boundary."
"What is the 'leakage gap'?","A term we coined: shuffled-CV accuracy minus stratified-blocked-CV accuracy at the same picked hyperparameter. For KNN it's 19.5 pp."
"What is autocorrelation?","The correlation between a signal and a delayed copy of itself. Lag-1 autocorrelation = correlation between sample t and sample t+1."
"What is a hyperparameter?","A parameter set before training, not learned from data. For KNN it's k."
"What is the bias-variance tradeoff?","Bias = error from a too-simple model; variance = error from a too-flexible model. Small k = low bias, high variance; large k = high bias, low variance."
"What does 'i.i.d.' mean?","Independent and identically distributed — samples drawn independently from the same distribution. Our EEG data is NOT i.i.d. because adjacent samples are highly dependent."
"What does 'argmax' mean?","The argument that maximises. argmax_k accuracy(k) = the value of k that gives the largest accuracy."
"What is stratification?","Assigning samples to subsets (folds) such that each subset has roughly the same class distribution as the whole."
"What's the take-home message of the poster?","Shuffled CV says we have a 97% classifier. Honest stratified blocked CV says we have a 78% classifier. The difference is leakage, not signal."
"What is the holdout test accuracy and why don't we lead with it?","The holdout partition is 91% class-0 (the recording ends in a long eyes-open period), so a trivial classifier would score 91%. The per-fold CV numbers are the meaningful summary."
"Could you have used logistic regression / SVM / neural nets?","Out of scope — the assignment is limited to the COGS 109 SP26 study-guide palette (LDA, KNN, PCR, PCA, K-means, hierarchical clustering)."
"Could you have used FFT / spectral features?","Out of scope of the study-guide palette, AND it would confound the methodological question (we wanted CV-scheme-only as the independent variable)."
"Would you trust 77.8% for a real-world BCI deployment?","With caveats: 77.8% is honest within-subject accuracy. It does NOT tell us between-subject generalisation, which would require leave-one-subject-out evaluation on a multi-subject dataset."
"What library implements our CV functions?","Custom code in src/cv.py — three deterministic fold-index generators (shuffled_kfold_indices, blocked_kfold_indices, stratified_blocked_kfold_indices) that all return list[tuple[train_idx, test_idx]]."
"What library implements KNN?","sklearn.neighbors.KNeighborsClassifier with Euclidean distance on z-scored 14-D features."
"What library generates the poster?","python-pptx — programmatic .pptx generation. The whole poster is reproducible from code, no manual edits."
"How does our pipeline regenerate from scratch?","make all runs preprocess → EDA → modeling notebooks → figures + tables. make poster then builds poster/poster.pptx. Total runtime ~30-60 seconds on a laptop."
"What random seed do we use?","seed = 42 throughout — deterministic so any re-run produces the same folds + same numbers."
"How many tests in the pytest suite?","18 — covering data loading, preprocessing, CV fold determinism, model fit/predict shapes, and poster generation."
"What does the headline figure (figure 11) show?","KNN mean accuracy ± std as a function of k (log scale) under all three CV schemes on the same axes. Open markers highlight the argmax-accuracy k for each scheme."
"What does figure 14 show (in the supporting evidence panel)?","Three-way 5-fold CV accuracy bars across the four classifiers (KNN, LDA, PCA→LDA, PCR). KNN has the largest leakage gap (orange-to-green bar height difference) — the visual confirmation of the headline story."
"What does figure 15 show?","Confusion matrices for the picked KNN model on the chronological holdout — broken down by class for sensitivity / specificity."
"What is the difference between 'naive blocked' and 'stratified blocked' CV?","Naive blocked = 5 contiguous chunks, no class balance correction (fails due to fold imbalance). Stratified blocked = 100 contiguous segments redistributed across 5 folds with class-stratified round-robin assignment (preserves both temporal locality and fold class balance)."
"If asked 'so you got 97% accuracy?' — what do you say?","No — 97% is the leakage demonstration, not our result. Our honest accuracy is 77.8% under stratified blocked CV. The 97% is what shuffled CV reports, which we show is inflated by lag-1 autocorrelation leakage."
"What's the one-sentence summary of the project?","Same model, same data, same picked hyperparameter — three different CV schemes return accuracies spanning 47 percentage points; the 19.5 pp gap between honest and leaky evaluation is leakage, not signal."
